iter	Passed	Remaining
529	31249	86674
530	31311	86621
531	31364	86547
532	31424	86490
533	31484	86435
534	31580	86477
535	31679	86526
536	31751	86502
537	31817	86464
538	31889	86438
539	31957	86404
540	32015	86342
541	32073	86278
542	32123	86195
543	32198	86178
544	32250	86100
545	32308	86036
546	32359	85957
547	32421	85904
548	32480	85844
549	32535	85775
550	32587	85698
551	32647	85640
552	32726	85634
553	32788	85582
554	32840	85502
555	32902	85452
556	32954	85374
557	33009	85304
558	33095	85313
559	33158	85265
560	33240	85264
561	33296	85195
562	33358	85143
563	33414	85075
564	33468	85004
565	33520	84927
566	33576	84858
567	33631	84788
568	33696	84743
569	33759	84695
570	33811	84618
571	33868	84551
572	33924	84484
573	33977	84410
574	34029	84335
575	34088	84273
576	34143	84205
577	34203	84147
578	34262	84087
579	34319	84024
580	34387	83984
581	34443	83919
582	34504	83863
583	34566	83811
584	34624	83749
585	34683	83691
586	34740	83625
587	34796	83560
588	34851	83489
589	34905	83417
590	34967	83365
591	35023	83299
592	35083	83241
593	35142	83181
594	35241	83217
595	35303	83165
596	35360	83099
597	35421	83045
598	35486	82999
599	35550	82952
600	35608	82888
601	35719	82949
602	35794	82926
603	35866	82897
604	35929	82844
605	35985	82778
606	36053	82739
607	36119	82693
608	36175	82628
609	36235	82570
610	36302	82526
611	36358	82460
612	36421	82409
613	36490	82371
614	36548	82309
615	36615	82265
616	36676	82210
617	36734	82147
618	36789	82078
619	36859	82041
620	36917	81979
621	36970	81905
622	37034	81855
623	37098	81806
624	37154	81740
625	37221	81696
626	37281	81638
627	37345	81588
628	37421	81565
629	37485	81516
630	37543	81453
631	37608	81406
632	37666	81343
633	37726	81284
634	37789	81231
635	37853	81183
636	37912	81121
637	37966	81051
638	38025	80991
639	38086	80933
640	38164	80913
641	38236	80881
642	38294	80816
643	38360	80770
644	38417	80706
645	38476	80644
646	38532	80579
647	38587	80509
648	38643	80441
649	38710	80399
650	38766	80332
651	38824	80269
652	38892	80227
653	38956	80176
654	39018	80122
655	39076	80058
656	39131	79991
657	39192	79933
658	39253	79876
659	39309	79809
660	39376	79765
661	39472	79778
662	39545	79746
663	39604	79685
664	39657	79613
665	39715	79549
